lat,lon,note,address,isworking,images
48.7192002,32.6770961,,395 Spenser Court,,
52.1930413,25.1471719,,38932 New Castle Junction,,
-8.5403989,115.2027279,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",50134 Armistice Court,FALSE,http://dummyimage.com/105x177.bmp/dddddd/000000
60.6815788,17.1350993,,1 Oakridge Drive,,
25.770509,113.014717,,0 American Ash Trail,,
36.8199022,21.7063018,,6 Novick Way,,
31.859964,120.411393,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",90020 Hoffman Trail,TRUE,http://dummyimage.com/172x140.jpg/ff4444/ffffff
-6.0924606,105.9112424,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",0521 Trailsway Trail,FALSE,http://dummyimage.com/136x231.png/cc0000/ffffff
35.0018174,33.8913539,,54469 Mariners Cove Place,,
1.283678,103.847692,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",67802 Weeping Birch Circle,FALSE,http://dummyimage.com/111x110.jpg/dddddd/000000
37.7349927,-25.3022791,,4247 Glacier Hill Parkway,,
17.622182,120.6190252,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",49 John Wall Road,FALSE,http://dummyimage.com/135x138.jpg/dddddd/000000
13.5699981,-14.5611573,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",2083 Hallows Crossing,TRUE,http://dummyimage.com/156x103.jpg/dddddd/000000
37.7404063,127.4241436,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,02 West Place,TRUE,http://dummyimage.com/225x120.jpg/cc0000/ffffff
14.5593606,121.0412391,,3817 Dawn Road,,
58.1186443,30.3076575,,175 Gale Circle,,
29.605376,114.482606,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",9 Tomscot Lane,FALSE,http://dummyimage.com/195x115.jpg/cc0000/ffffff
32.629398,110.798266,,264 Maryland Drive,,
